year,avg_temp,10 years_moving_average,global,,,,*,+,global moving,,,,Year,City(10 years_moving_average),Global(10 years_moving_average),,,,,,,,
1843,24.74,,8.17,,,,202.1258,36857.60232,,,,,1843,,,,,,,,,,
1844,15.45,,7.65,,,,118.1925,,,,,,1844,,,,,,,,,,
1845,20.82,,7.85,,,,163.437,,,,,,1845,,,,,,,,,,
1846,25.214142,,8.55,,,,215.5809141,,,,,,1846,,,,,,,,,,
1847,25.214142,,8.09,,,,203.9824088,,,,,,1847,,,,,,,,,,
1848,24.56,,7.98,,,,195.9888,,,,,,1848,,,,,,,,,,
1849,24.8,,7.98,correlation,25.21414201,,197.904,,,,,,1849,,,,,,,,,,
1850,24.34,,7.9,,,,192.286,,,,,,1850,,,,,,,,,23.5018284,8.045
1851,25.03,,8.18,,1.040807098,,204.7454,,,,,,1851,,,,,,,,,23.5208284,8.032
1852,24.85,,8.1,,,,201.285,,,,,,1852,,,,,,,,,24.4478284,8.088
1853,24.93,23.5018284,8.04,,,,200.4372,,,,,,1853,23.5018284,8.045,,,,,,,24.8578284,8.114
1854,24.72,23.5208284,8.21,,,,202.9512,,,,,,1854,23.5208284,8.032,,,,,,,24.7934142,8.059
1855,24.92,24.4478284,8.11,,,,202.1012,,,,,,1855,24.4478284,8.088,,,,,,,24.698,8.026
1856,24.57,24.8578284,8,,,,196.56,,,,,,1856,24.8578284,8.114,,,,,,,24.743,8.038
1857,24.26,24.7934142,7.76,,,,188.2576,,,,,,1857,24.7934142,8.059,,,,,,,24.758,8.065
1858,25.01,24.698,8.1,,,,202.581,,,,,,1858,24.698,8.026,,,,,,,24.818,8.071
1859,24.95,24.743,8.25,,,,205.8375,,,,,,1859,24.743,8.038,,,,,,,24.728,8.038
1860,24.94,24.758,7.96,,,,198.5224,,,,,,1860,24.758,8.065,,,,,,,24.62,7.984
1861,24.13,24.818,7.85,,,,189.4205,,,,,,1861,24.818,8.071,,,,,,,24.555,7.991
1862,23.77,24.728,7.56,,,,179.7012,,,,,,1862,24.728,8.038,,,,,,,24.586,7.968
1863,24.28,24.62,8.11,,,,196.9108,,,,,,1863,24.62,7.984,,,,,,,24.617,7.975
1864,25.03,24.555,7.98,,,,199.7394,,,,,,1864,24.555,7.991,,,,,,,24.652,8.004
1865,25.23,24.586,8.18,,,,206.3814,,,,,,1865,24.586,7.968,,,,,,,24.748,8.072
1866,24.92,24.617,8.29,,,,206.5868,,,,,,1866,24.617,7.975,,,,,,,24.747,8.087
1867,25.22,24.652,8.44,,,,212.8568,,,,,,1867,24.652,8.004,,,,,,,24.782,8.105
1868,25,24.748,8.25,,,,206.25,,,,,,1868,24.748,8.072,,,,,,,24.79,8.129
1869,25.3,24.747,8.43,,,,213.279,,,,,,1869,24.747,8.087,,,,,,,24.85,8.156
1870,25.02,24.782,8.2,,,,205.164,,,,,,1870,24.782,8.105,,,,,,,24.96,8.219
1871,24.73,24.79,8.12,,,,200.8076,,,,,,1871,24.79,8.129,,,,,,,25.056,8.243
1872,24.87,24.85,8.19,,,,203.6853,,,,,,1872,24.85,8.156,,,,,,,25.051,8.288
1873,25.24,24.96,8.35,,,,210.754,,,,,,1873,24.96,8.219,,,,,,,24.971,8.256
1874,24.98,25.056,8.43,,,,210.5814,,,,,,1874,25.056,8.243,,,,,,,24.968,8.235
1875,24.43,25.051,7.86,,,,192.0198,,,,,,1875,25.051,8.288,,,,,,,24.993,8.245
1876,24.89,24.971,8.08,,,,201.1112,,,,,,1876,24.971,8.256,,,,,,,25.044,8.303
1877,25.47,24.968,8.54,,,,217.5138,,,,,,1877,24.968,8.235,,,,,,,25.038,8.277
1878,25.51,24.993,8.83,,,,225.2533,,,,,,1878,24.993,8.245,,,,,,,25.016,8.269
