year,avg_temp,10 years_moving_average,,,,
1750,8.72,,,,,
1751,7.98,,,,,
1752,5.78,,,,,
1753,8.39,,,,,
1754,8.47,,,,,
1755,8.36,,,,,
1756,8.85,,,,,
1757,9.02,,,,,
1758,6.74,,,,,
1759,7.99,,,,,
1760,7.19,,,,,
1761,8.77,,,,,
1762,8.61,,,,,
1763,7.5,,,,,
1764,8.4,,,,,
1765,8.25,,,,,
1766,8.41,,,,,
1767,8.22,,,,,
1768,6.78,,,,,
1769,7.69,,,,,
1770,7.69,,,,,
1771,7.85,,,,,
1772,8.19,,,,,
1773,8.22,,,,,
1774,8.77,,,,,
1775,9.18,,,,,
1776,8.3,,,,,
1777,8.26,,,,,
1778,8.54,,,,,
1779,8.98,,,,,
1780,9.43,,,,,
1781,8.1,,,,,
1782,7.9,,,,,
1783,7.68,,,,,
1784,7.86,,,,,
1785,7.36,,,,,
1786,8.26,,,,,
1787,8.03,,,,,
1788,8.45,,,,,
1789,8.33,,,,,
1790,7.98,,,,,
1791,8.23,,,,,
1792,8.09,,,,,
1793,8.23,,,,,
1794,8.53,,,,,
1795,8.35,,,,,
1796,8.27,,,,,
1797,8.51,,,,,
1798,8.67,,,,,
1799,8.51,,,,,
1800,8.48,,,,,
1801,8.59,,,,,
1802,8.58,,,,,
1803,8.5,,,,,
1804,8.84,,,,,
1805,8.56,,,,,
1806,8.43,,,,,
1807,8.28,,,,,
1808,7.63,,,,,
1809,7.08,,,,,
1810,6.92,,,,,
1811,6.86,,,,,
1812,7.05,,,,,
1813,7.74,,,,,
1814,7.59,,,,,
1815,7.24,,,,,
1816,6.94,,,,,
1817,6.98,,,,,
1818,7.83,,,,,
1819,7.37,,,,,
1820,7.62,,,,,
1821,8.09,,,,,
1822,8.19,,,,,
1823,7.72,,,,,
1824,8.55,,,,,
1825,8.39,,,,,
1826,8.36,,,,,
1827,8.81,,,,,
1828,8.17,,,,,
1829,7.94,,,,,
1830,8.52,,,,,
1831,7.64,,,,,
1832,7.45,,,,,
1833,8.01,,,,,
1834,8.15,,,,,
1835,7.39,,,,,
1836,7.7,,,,,
1837,7.38,,,,,
1838,7.51,,,,,
1839,7.63,,,,,
1840,7.8,,,,,
1841,7.69,,,,,
1842,8.02,,,,,
1843,8.17,,,,,
1844,7.65,,,,,
1845,7.85,,,,,
1846,8.55,,,,,
1847,8.09,,,,,
1848,7.98,,,,,
1849,7.98,,,,,
1850,7.9,,,,,
1851,8.18,,,,,
1852,8.1,,,standrd,0.464515757,
1853,8.04,8.045,,,correlation,8.536783626
1854,8.21,8.032,,,,
1855,8.11,8.088,,,,
1856,8,8.114,,,,
1857,7.76,8.059,,,,
1858,8.1,8.026,,,,
1859,8.25,8.038,,,,
1860,7.96,8.065,,,,
1861,7.85,8.071,,,,
1862,7.56,8.038,,,,
1863,8.11,7.984,,,,
1864,7.98,7.991,,,,
1865,8.18,7.968,,,,
1866,8.29,7.975,,,,
1867,8.44,8.004,,,,
1868,8.25,8.072,,,,
1869,8.43,8.087,,,,
1870,8.2,8.105,,,,
1871,8.12,8.129,,,,
1872,8.19,8.156,,,,
1873,8.35,8.219,,,,
1874,8.43,8.243,,,,
1875,7.86,8.288,,,,
1876,8.08,8.256,,,,
1877,8.54,8.235,,,,
1878,8.83,8.245,,,,
1879,8.17,8.303,,,,
1880,8.12,8.277,,,,
1881,8.27,8.269,,,,
1882,8.13,8.284,,,,
1883,7.98,8.278,,,,
1884,7.77,8.241,,,,
1885,7.92,8.175,,,,
1886,7.95,8.181,,,,
1887,7.91,8.168,,,,
1888,8.09,8.105,,,,
1889,8.32,8.031,,,,
1890,7.97,8.046,,,,
1891,8.02,8.031,,,,
1892,8.07,8.006,,,,
1893,8.06,8,,,,
1894,8.16,8.008,,,,
1895,8.15,8.047,,,,
1896,8.21,8.07,,,,
1897,8.29,8.096,,,,
1898,8.18,8.134,,,,
1899,8.4,8.143,,,,
1900,8.5,8.151,,,,
1901,8.54,8.204,,,,
1902,8.3,8.256,,,,
1903,8.22,8.279,,,,
1904,8.09,8.295,,,,
1905,8.23,8.288,,,,
1906,8.38,8.296,,,,
1907,7.95,8.313,,,,
1908,8.19,8.279,,,,
1909,8.18,8.28,,,,
1910,8.22,8.258,,,,
1911,8.18,8.23,,,,
1912,8.17,8.194,,,,
1913,8.3,8.181,,,,
1914,8.59,8.189,,,,
1915,8.59,8.239,,,,
1916,8.23,8.275,,,,
1917,8.02,8.26,,,,
1918,8.13,8.267,,,,
1919,8.38,8.261,,,,
1920,8.36,8.281,,,,
1921,8.57,8.295,,,,
1922,8.41,8.334,,,,
1923,8.42,8.358,,,,
1924,8.51,8.37,,,,
1925,8.53,8.362,,,,
1926,8.73,8.356,,,,
1927,8.52,8.406,,,,
1928,8.63,8.456,,,,
1929,8.24,8.506,,,,
1930,8.63,8.492,,,,
1931,8.72,8.519,,,,
1932,8.71,8.534,,,,
1933,8.34,8.564,,,,
1934,8.63,8.556,,,,
1935,8.52,8.568,,,,
1936,8.55,8.567,,,,
1937,8.7,8.549,,,,
1938,8.86,8.567,,,,
1939,8.76,8.59,,,,
1940,8.76,8.642,,,,
1941,8.77,8.655,,,,
1942,8.73,8.66,,,,
1943,8.76,8.662,,,,
1944,8.85,8.704,,,,
1945,8.58,8.726,,,,
1946,8.68,8.732,,,,
1947,8.8,8.745,,,,
1948,8.75,8.755,,,,
1949,8.59,8.744,,,,
1950,8.37,8.727,,,,
1951,8.63,8.688,,,,
1952,8.64,8.674,,,,
1953,8.87,8.665,,,,
1954,8.56,8.676,,,,
1955,8.63,8.647,,,,
1956,8.28,8.652,,,,
1957,8.73,8.612,,,,
1958,8.77,8.605,,,,
1959,8.73,8.607,,,,
1960,8.58,8.621,,,,
1961,8.8,8.642,,,,
1962,8.75,8.659,,,,
1963,8.86,8.67,,,,
1964,8.41,8.669,,,,
1965,8.53,8.654,,,,
1966,8.6,8.644,,,,
1967,8.7,8.676,,,,
1968,8.52,8.673,,,,
1969,8.6,8.648,,,,
1970,8.7,8.635,,,,
1971,8.6,8.647,,,,
1972,8.5,8.627,,,,
1973,8.95,8.602,,,,
1974,8.47,8.611,,,,
1975,8.74,8.617,,,,
1976,8.35,8.638,,,,
1977,8.85,8.613,,,,
1978,8.69,8.628,,,,
1979,8.73,8.645,,,,
1980,8.98,8.658,,,,
1981,9.17,8.686,,,,
1982,8.64,8.743,,,,
1983,9.03,8.757,,,,
1984,8.69,8.765,,,,
1985,8.66,8.787,,,,
1986,8.83,8.779,,,,
1987,8.99,8.827,,,,
1988,9.2,8.841,,,,
1989,8.92,8.892,,,,
1990,9.23,8.911,,,,
1991,9.18,8.936,,,,
1992,8.84,8.937,,,,
1993,8.87,8.957,,,,
1994,9.04,8.941,,,,
1995,9.35,8.976,,,,
1996,9.04,9.045,,,,
1997,9.2,9.066,,,,
1998,9.52,9.087,,,,
1999,9.29,9.119,,,,
2000,9.2,9.156,,,,
2001,9.41,9.153,,,,
2002,9.57,9.176,,,,
2003,9.53,9.249,,,,
2004,9.32,9.315,,,,
2005,9.7,9.343,,,,
2006,9.53,9.378,,,,
2007,9.73,9.427,,,,
2008,9.43,9.48,,,,
2009,9.51,9.471,,,,
2010,9.7,9.493,,,,
2011,9.52,9.543,,,,
2012,9.51,9.554,,,,
2013,9.61,9.548,,,,
2014,9.57,,,,,
2015,9.83,,,,,
